Country,F1,F2,F3,F4,L1,L2,L3,L4
Algeria,300.93,10.69,9720152,1.95,1,0,0,0
Angola,5894.55,51.23,3535047,3.6,0,1,0,0
Armenia,2378.11,37.25,507190,0.27,0,0,1,0
Burkina Faso,754.32,39.2,-18263,3,1,0,0,0
China,2082.63,33.6,90931549,0.49,0,1,0,1
Costa Rica,24104.1,10.28,-2116964,1.18,0,0,0,1
Ethiopia,1315.69,72.11,-895662,2.83,1,0,0,0
Ghana,1165.54,46.85,-1143519,2.37,1,0,0,0
Guatemala,7387.39,32.26,-2482758,1.78,0,1,0,1
India,1142.38,47,-17980589,1.23,0,0,0,1
Indonesia,8126.3,35.93,-20893102,1.35,0,0,0,1
Israel,94.81,1.11,2587374,1.85,0,0,1,0
Italy,3065.18,3.69,5047714,0.27,0,0,1,0
Jamaica,3807,18.24,622653,0.57,0,0,1,1
Japan,3369.14,3.87,63268603,-0.16,0,0,1,0
Jordan,84.29,3.18,2172943,5.43,0,0,1,0
Kenya,466.81,59.22,-398785,2.66,1,0,0,0
"Korea, Dem. People' s Rep.",2701.55,46.32,590089,0.51,0,1,0,0
"Korea, Rep.",1291.84,6.13,19817132,0.53,0,0,1,0
Kyrgyz Republic,8726.28,30.09,505673,1.67,0,1,0,0
Lebanon,866.64,13.76,2529879,6.26,0,0,1,0
Lesotho,2595.55,49.02,216084,0.56,1,0,0,0
Malaysia,19953.1,13.26,-11944556,1.45,0,0,0,1
Mexico,3487.55,13.72,4993315,1.36,0,0,0,1
Montenegro,19259.37,5.28,476316,0.08,0,0,0,1
Morocco,872.39,39.22,3632644,1.39,1,0,0,1
Nepal,7343.5,68.86,682269,-0.19,0,1,0,0
Pakistan,293.68,42.89,1020349,2.13,1,0,0,0
Peru,55614.32,27.44,146411,0.83,0,1,0,0
Singapore,112.94,0.1,3125712,2.45,0,0,1,0
Syrian Arab Republic,348.88,13.21,1783367,-3.08,1,0,0,0
Tajikistan,8058.58,51.05,479280,2.28,0,1,0,0
Tanzania,1785.24,69.3,-289693,2.97,0,1,0,0
Thailand,3309.45,42.14,-21735556,0.47,0,1,0,0
Tunisia,386.74,17.07,1183359,0.97,1,0,0,0
United Kingdom,2276.29,1.19,31502366,0.7,0,0,1,0
